account;posts;likes_count;location;type;description;hashatags;date
kud_adi;https://www.instagram.com/p/CAozJPynlUG/;64;"Көкшетау ""Білім-инновация"" лицейі";photo;"11 ""А"" 2019-2020  mission completed.";;MAY-26-2020
kud_adi;https://www.instagram.com/p/B173kNVHP7V/;5;"Көкшетау ""Білім-инновация"" лицейі";photo;Отандық өнімді қолдау үстінде...;;SEPTEMBER-3-2019
kud_adi;https://www.instagram.com/p/B1287l4H7Mq/;5;"Көкшетау ""Білім-инновация"" лицейі";photo;"11""А"" 2019/20  beginning...";;SEPTEMBER-1-2019
kud_adi;https://www.instagram.com/p/B1nz6XYnvBI/;47;Astana International Airport Kazakhstan;video;Жол болсын!;;AUGUST-26-2019
kud_adi;https://www.instagram.com/p/BrcjshJnOk9/;74;КАЗГЮУ;photo;;;DECEMBER-16-2018
kud_adi;https://www.instagram.com/p/BraS15gnO0Y/;232;"Кафе ""Нават""";photo;;;DECEMBER-15-2018
kud_adi;https://www.instagram.com/p/BXlTgrHlju0/;147;;photo;;;AUGUST-10-2017
fearless_white_master;https://www.instagram.com/p/CDWSxNwBD1W/;89;;photo;🦊;;AUGUST-1-2020
fearless_white_master;https://www.instagram.com/p/B5U977Ohw6Y/;80;;photo;;;NOVEMBER-26-2019
fearless_white_master;https://www.instagram.com/p/Byj7OReBfWU/;104;;photo;;;JUNE-11-2019
fearless_white_master;https://www.instagram.com/p/BrK2Ck6BOBU/;114;;photo;;;DECEMBER-9-2018
fearless_white_master;https://www.instagram.com/p/BrHvCVDBxZz/;139;;photo;;;DECEMBER-8-2018
fearless_white_master;https://www.instagram.com/p/BpKgzhNh4Vw/;139;;photo;21 and over~;;OCTOBER-21-2018
fearless_white_master;https://www.instagram.com/p/BmjlevvgkMe/;133;;photo;Обязательно на следующей год повторим и сделаем еще лучше 🔥🔥🔥;;AUGUST-17-2018
fearless_white_master;https://www.instagram.com/p/BmjkdVrgyON/;74;;video;Честно говоря был очень сумбурный движ  но он того стоил👌🔥💥;;AUGUST-17-2018
fearless_white_master;https://www.instagram.com/p/BgqUAxCnGLo/;197;Zhezkazgan;photo;Близкий друг с детства.;;MARCH-23-2018
fearless_white_master;https://www.instagram.com/p/BaQrwZNH8jP/;207;;photo;;;OCTOBER-15-2017
fearless_white_master;https://www.instagram.com/p/BU52gHcFbBl/;198;;photo;;;JUNE-4-2017
fearless_white_master;https://www.instagram.com/p/BTGGBBtlgEV/;185;;photo;СтудСовет) КВН;;APRIL-20-2017
fearless_white_master;https://www.instagram.com/p/BTGF3T4lYNQ/;154;;photo;СтудСовет);;APRIL-20-2017
fearless_white_master;https://www.instagram.com/p/BSv-RamlNGR/;115;;photo;KFC;;APRIL-11-2017
aigeriim.s;https://www.instagram.com/p/CFjzyqYnBJN9xZi3R1ERUzhaNBnoU0lETwYphY0/;147;;photo;"“самое время”

захотеть в 2 часа ночи и выехать утром
19.07.20";;SEPTEMBER-25-2020
aigeriim.s;https://www.instagram.com/p/CErmN9olyFE9kgOPbQxbStce7w_h_CRTDzLl5M0/;58;;video;"Balhash kólі

закат  рассвет  звуки волн и довольные родственники...

что может быть лучше?

p.s. вот только гор не хватает";;SEPTEMBER-3-2020
aigeriim.s;https://www.instagram.com/p/CECcyqLnG3wQSPiXU9hrXNaen036tJ_WmC5y8c0/;130;;photo;/ in harmony with nature /;;AUGUST-18-2020
aigeriim.s;https://www.instagram.com/p/CDicGXFnqQj8gtZJUt-A2xDuHGSe-2zy151C1A0/;81;;video;"Озёра Титова

мой самый сложный(пока что) и в то же время самый интересный хайкинг.

📍Озёра Титова
Высота: 3377м.
Путь: 12-14 часов.
Маршрут: Медео-водопады Горельника-Орлиное гнездо-озёра Титова.

впервые в горах попала под ливень и град:)";;AUGUST-6-2020
aigeriim.s;https://www.instagram.com/p/CDhBukynveFOVZbTZ6dHujvfZ9af5cHMwy8JSU0/;137;;photo;"In every walk with nature one receives far more than he seeks.

ph: @assquire";;AUGUST-5-2020
aigeriim.s;https://www.instagram.com/p/CDWXn4AHERe2-V7wsDxbDbOM9KupsshOg0X6C40/;161;;photo;"довольный  дипломированный человечек

в первую очередь благодарна за друзей  которые стали мне очень близкими/ родными  за атмосферу  и за незабываемые и тёплые воспоминания.

поздравляю всех с окончанием и желаю дальнейших успехов в вашей профессиональной деятельности и удачи в новых начинаниях/делах.

берегите себя и не теряйтесь💙
спасибо всем  who made my student life:)

P.S. лучше поздно  чем никогда😂";;AUGUST-1-2020
aigeriim.s;https://www.instagram.com/p/CCtjhJ4nDLiI5BI34kqzNasQqwaqlMXGNNNhk00/;136;;photo;"art pique-nique
Спасибо @madina__ko за уютный и атмосферный день :)";;JULY-16-2020
aigeriim.s;https://www.instagram.com/p/CCllHiSnONaBHJp8y2ByIsbyl80j8qzLM03njk0/;145;;photo;"вечерние прогулки по-особенному атмосферные.

caption by: @assquire
ph by: @bayan.sdld

хорошо живётся:)";;JULY-13-2020
aigeriim.s;https://www.instagram.com/p/CCTzr_UnEQT1HLOH91VGPksG0Gd6M7OcOevpbo0/;83;;photo;пожелать всем здоровья/сил/терпения!;;JULY-6-2020
aigeriim.s;https://www.instagram.com/p/CB51LGMH5DsfTvl4sj8PWHpt0lmvlNfDQASVqc0/;95;Charyn Canyon National Park;video;"в кои-то веки🙈
📍Чарынский каньон
Путь: 3-3.5 часов езды.
Расположение: в 200 км от Алматы  недалеко от границы с Китаем.
.
Впечатляет  но одного раза хватило:)
.
as usual w/ polymers
пасыба @orken.serik аби за некоторые видосы🙌🏻";;JUNE-26-2020
aigeriim.s;https://www.instagram.com/p/CB3TYE5HcAaPrMPO9_NXze7IANMyXEZhijY95c0/;83;Charyn Canyon National Park;video;feel the noise  perfect noise.;;JUNE-25-2020
aigeriim.s;https://www.instagram.com/p/CBV5KrRHZioB5hb9c62A35Z_b2njwoT4GDot800/;86;;photo;mars tour;;JUNE-12-2020
aigeriim.s;https://www.instagram.com/p/CAqOyRoHttbC7B1AHVsqn8qY_L8P1Vh2csxmsM0/;119;Чайхана NAVAT;photo;sagyndym;;MAY-26-2020
aigeriim.s;https://www.instagram.com/p/CAYUYl_nE5MeJ0dcqApAJ2Qv4xM1jaQyR3Tj040/;142;;photo;"Ещё чуть-чуть и вернусь к своей горной традиции  ну а пока выложу накопившиеся архивы.
.
.
.
Всё-таки не зря же я мучала @assquire 🌚";;MAY-20-2020
aigeriim.s;https://www.instagram.com/p/B9eidsjHALs3G-2YFzlcobNzcBxFMrG1uwr_3M0/;138;;photo;🌸;;MARCH-8-2020
aigeriim.s;https://www.instagram.com/p/B6vRmGNHmlO5KYsDzXubfqKWR9CvVcMZ_KQljQ0/;124;;photo;feel thankful✨;;DECEMBER-31-2019
aigeriim.s;https://www.instagram.com/p/B6qqWe2nYvQLlWjM6px3vKSkbDmXchM8z-wj2Y0/;158;;photo;"думаю  как бы накосячить в следующем году😈
ph: @mukhammmetkali production";;DECEMBER-30-2019
aigeriim.s;https://www.instagram.com/p/B6nHCjXH0W4NLWzqXYxiB37vmA3oAhot1W3F9U0/;133;Медеу;photo;"в ожидании чуда
.
.
.
by 🐝";;DECEMBER-28-2019
aigeriim.s;https://www.instagram.com/p/B5IpQjZH9Py3X4r-oD1aFN479v21lSHZ1zfc9Q0/;126;Пик Букреева;photo;"the last one for this year
📍Пик Букреева
Высота: 3010м.
22.09.19.
w/ polymers
ph: @assquire
.
но это не точно";;NOVEMBER-21-2019
aigeriim.s;https://www.instagram.com/p/B4pby0jnwKT5Bd0IyVvf1gZm4NKHEX55zhvPog0/;116;;photo;"pleased☁️
ph: @moon.ay.ma";;NOVEMBER-9-2019
aigeriim.s;https://www.instagram.com/p/B4kqfmRn8SUDTG489jS2jESWuxe6xv4c9fU93o0/;142;Пик Букреева;photo;hello🌚;;NOVEMBER-7-2019
aigeriim.s;https://www.instagram.com/p/B2whaGyn9DUD7549EsvsCPLFW6_7388G44BV200/;124;Тянь-Шаньская Астрономическая Обсерватория;photo;"bitpeıtin fotolar🌚
ph: @assquire";;SEPTEMBER-23-2019
aigeriim.s;https://www.instagram.com/p/B2rmRMJn5WuJtF9oQdR9tWLrNb3_5l7ZYlGO3Y0/;97;Большой Алматинский Пик;photo;"bir án salam
📍Большой Алматинский Пик
Высота: 3682м.
Путь: 6-8 часов.
Уровень сложности восхождений потихоньку возрастает🏔
w/ polymers
#обсерватория
#космостанция
#бап";обсерватория космостанция бап;SEPTEMBER-21-2019
aigeriim.s;https://www.instagram.com/p/B2q9zvCHBWAGCu5zszu_peIiZKnDQA9tM8u_eU0/;106;Большой Алматинский Пик;photo;"umytaıyq jerdi  odan bıik alaıyq.
ph: @assquire";;SEPTEMBER-21-2019
aigeriim.s;https://www.instagram.com/p/B2qwQxAHjP6nCDq5Iv3FIV0fNMBH4Z1BOiscv00/;121;Большой Алматинский Пик;photo;"taýdyń shyńynda
ph: @assquire";;SEPTEMBER-21-2019
aigeriim.s;https://www.instagram.com/p/B2ouPjdHd-0TCYzB_BBoqVV8iNVYVM-6Dd80iY0/;119;;photo;"morning inspiration. evening relaxation.
#weekdaysroutine
ph: @kamilla_abdi";weekdaysroutine;SEPTEMBER-20-2019
aigeriim.s;https://www.instagram.com/p/B2miCZinZYQT379RBmH9bqh7cQDsb7Qc6jR3x40/;127;Бутаковка / Butakovka;photo;ph: @marrrriyam;;SEPTEMBER-20-2019
aigeriim.s;https://www.instagram.com/p/B2XMF3KHsjXSjLy9dDUt4fhqSax1AaPXmS9OgQ0/;122;Метеостанция Мынжылкы;photo;"📍Плато «Мынжылкы».
Высота: 3100м.
Весь путь до плато #мынжылкы невероятно красив  только и успевай восхищаться.
ph: @moon.ay.ma";мынжылкы;SEPTEMBER-14-2019
aigeriim.s;https://www.instagram.com/p/B2XCa0oHpqhN51pGdkCLihPDGy0ObwAw9GK8Ac0/;97;Метеостанция Мынжылкы;photo;горы ответили взаимностью;;SEPTEMBER-13-2019
aigeriim.s;https://www.instagram.com/p/B2XB8mJnud8DtdQ0palPTZaYwUYYHIX5hFPUjk0/;134;Алатау  озеро Маншук Маметовой;photo;"mustVisit place.
📍Озеро Маншук Маметовой(озеро#6).
Высота: 3550м.
Путь: 5-6 часов.
27.07.19г.
ph: @assquire
#мынжылкы
#альпинград
#озероманшукмаметовой";мынжылкы альпинград озероманшукмаметовой;SEPTEMBER-13-2019
aigeriim.s;https://www.instagram.com/p/B11kRBbnAJJMBMWkEXIFOh-wRc5SSnmqKYeaEA0/;102;;photo;"in my twenties
ph: @akerkee.a";;AUGUST-31-2019
aigeriim.s;https://www.instagram.com/p/B1y0Y3dnzdDrNaBiJokwZnO8lFHDYDDOEtRrcA0/;78;;video;"Kolsay Lake | 07.07.2019
.
.
.
надеюсь  что смогла показать всю красоту этого места";;AUGUST-30-2019
aigeriim.s;https://www.instagram.com/p/B1ysQTfnQuGuUv97Q0SVXg6PwgE0IpcC07Q3_A0/;120;Kolsay Lake;photo;jaz bіtpeı turyp salaıyn endі:);;AUGUST-30-2019
aigeriim.s;https://www.instagram.com/p/B0l6-DgA4RrsjRl4n3bUL-G9nOOPpASpRE71tI0/;20;Kok Zhailyau;video;sometimes  you just need a break. in a beautiful place. w/ bro. to figure everything out.;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l673lgqCCTW6uHrMbm8XxvzHUKau-yYEY_bM0/;21;Kok Zhailyau;photo;".
утро. кофе. подъем. горы. вид. звуки. усталость. песни. вершина. вдох. пикник. беседа. дождь. град. радость. спуск. падение. встреча. сближение. родные. ностальгия. смех. уют. тепло. ночь. -энергия. и наконец подушка.";;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l66y2gPiRlQPMZ_EBOzZ8sF5SBL5fKMLZYeA0/;22;Kok Zhailyau;photo;"feeling good🍃
ph: @matelinaa";;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l64wDgQiXRY8JxGAHx22Eur6t3Y52bmR1bjw0/;17;;photo;тёплые фотографии трёх идиотов💛;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l63sDg9aciFUpnqtmv6e7VH26rQTP7VJns0w0/;12;;photo;;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l6sglA9RfT-lvTkmt7208vwn0P31TDe1lSVI0/;26;;photo;eyes talk.;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l1MAtAQfuhUSZfi70qfXX111t_8gg21R4LeE0/;18;;photo;;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l1JnBAIknHQlTQqNbGP1pW3FVOf2eU_NsOpc0/;15;Tashkent  Uzbekistan;photo;коротко о нашем трипе в Узбекистан / прожили сутки жизнью «миллионеров».;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l1H6tAquK5vyfc8x6P2CtyopHCwIblELP2Eo0/;15;Tashkent  Uzbekistan;photo;"one who listens / understands / supports / and somehow makes everything all right.
#iyikivarsin";iyikivarsin;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l1EXkg2-5sX3IsLvGK6HllXBRnjfhoJqE8rA0/;16;;photo;"Samarkand | Uzbekistan
• Shah-i-Zinda Ensemble
• Bibi-Khanym Mosque
• Ulugbek's Observatory";;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l1A0rAxVxvOCpcQ74eI-__uywKqClIjv4fiE0/;20;Uzbekistan;video;📍Shah-i-Zinda Ensemble  Samarkand.;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0l0_YsAoBFXfawrwM5IqC49A-aI300aSCgAV40/;13;Uzbekistan;photo;📍Tilla-Kori Madrassah  Samarkand.;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0lzmudhakYH0WUKbu3AOo6UJCNlqMtXbgC7900/;13;;photo;pique - nique;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0lzlFbhp_PmwW8qIh8MdlYoXOeqWQr8VxSt9Y0/;10;;photo;;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0lzgtXB61uInsevG0Vz23awNsVK4SRjoR7m7o0/;12;;photo;первый курс первый поход в горы;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0lzZ0Igu7bRTF3HYXhL6hjXVAHcOiuZJp1eoI0/;11;БАО  Большое Алматинское Озеро;photo;w/ pretty girlzzz;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0lzYBJAGz2nIuy8BLUfzEm5ZSlKCqg-6Ga8hI0/;14;БАО  Большое Алматинское Озеро;photo;01.10.18 | peace of mind.;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0lzWwhg94LPtrR7YhNC1sogyw_2VZcgc_8dt00/;11;БАО  Большое Алматинское Озеро;photo;ещё одно чудесное место в копилку🐾;;AUGUST-1-2019
aigeriim.s;https://www.instagram.com/p/B0j0mBQg9GF98yaVwKSCmxmzpAk9Aas0gz1Wco0/;11;Shymbulak Mountain Resort;photo;дофига сноубордисты;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jzjwAA2OAar1S1HUSVHJ2-XWgRBDucQHkNXA0/;9;Shymbulak Mountain Resort;video;"spontaneous trip to Shym.
#secondvideo";secondvideo;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jzNaaAL9xoK3kGPLiISOHMk7MuRbuCMdeKxg0/;11;Shymbulak Mountain Resort;photo;"счастливый ребёнок🏂
.
в очередной раз убеждаюсь в том  что самые запоминающиеся поездки случаются спонтанно.
.
мой вам совет  друзья  берите обязательно сидушку☝🏻😂 Уверяю вас  он вам понадобится! Опытные поймут  особенно @bekbossynovaa_ 😆
.
и да  надо повторить😏
#удовольствие#snowboarding";удовольствие#snowboarding;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jykTEghc0T7p9xprmX0UPRX0hvQobYaDyhdM0/;9;Shymbulak Mountain Resort;photo;tired  but satisfied.;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jybi3AIvHJ8hWPXKZgUtS_TAlUjM8RcX9VzM0/;9;Kaskelen;photo;"what a beautiful weather was today:)
credits to: @bekbossynovaa_";;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jyUacA2MEJMqbChiAjVrhD6hAC0wWprd_kHc0/;9;Kaskelen;photo;"you’re it  you’re my person.
#iyikivarsin";iyikivarsin;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jx7KIAZJzKWEUOJLSVCsZ2jM1QJF5qTOml0E0/;9;;photo;all good things are wild and free💫;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jxsUyAxdH_fOa9pCHjotXxFadeKX1PYhB5tQ0/;9;;photo;;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jxhLFAPS6RMdNBqUP9yxqKkDYNoF4riqZbi40/;9;;photo;the best view comes after the hardest climb🗻;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0js2O1AXl8xl4C4XiK-ayqOFGcnu04r6H3kw40/;8;;video;"за полчаса до отъезда.
.
.
.
вот такие вот приколисты🖤";;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jsu6gAwZxxSm9HmdUP17ss0ooBqtdR1aaFGQ0/;9;Karaganda;photo;;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jr9BvBQ7ozhtqn2i9yxHQ6PJoG1c_xLKLINQ0/;10;;video;family vibes / baqyttymyn / #firstvideo;firstvideo;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jrSdrAZiAFsdnaw3eFwQ5quXv_hwXMum5GuQ0/;9;;photo;;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jq8nTA3heUkhZUYwFzSeRM1fl-50E0qrap1w0/;8;;video;"Асия стартовала👰🏻Who is next?😏
@asiya.temirshot & @yelubayev1 счастья вам❤️
#assiyahenparty";assiyahenparty;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jqeTfgEl-kXrfzcm2elv_s1ZLlwYnOsi6X540/;9;;photo;"favorite photo w/ favorite person.
#iyikivarsin";iyikivarsin;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0joyZlAQHn6wkjOaJe8JMCsmtHD_l5oh2xGkA0/;9;;photo;;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jocPXARNgfiQwE048gOc1qWiA0WJYFoUWQr40/;10;Medeo;photo;упала  пытаясь сделать случайную фотку  но вроде получилось🌚;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0joSEug8VdZyK7Jo0LclJgQL4SSLnwOoMlNOY0/;9;;photo;;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jnO0rgQacqI9qGiEutkeDmv_bKvpwAO7HPz80/;9;;photo;"там  где мы начали путь к мечтам.
.
.
.
скучаю по таким вечерам  когда можно спокойно провести своё время с ценным человеком:)";;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jmAKkAa61qHDyZYBaTuqdE8cth6KiHu9Xb_80/;10;Suleyman Demirel University;photo;this chapter feels really good.;;JULY-31-2019
aigeriim.s;https://www.instagram.com/p/B0jlzdoAMqZVMui4lfPUO1h2aNPh5j4hDF-UqY0/;11;Karaganda;photo;;;JULY-31-2019
sandu2065mail.ru;https://www.instagram.com/p/BZYUUL0BQ6gfmtmayZvoNbH2kT8EQAl4Zmhhx80/;5;;photo;Ағалары сенбілік жасап лицей ауласын тазаласа інілері таза ауада демалуда;;SEPTEMBER-23-2017
sandu2065mail.ru;https://www.instagram.com/p/BYfKwEXh2UIjcnMdfl6hbd__Jj_V2aM1gNSXQc0/;5;;photo;;;SEPTEMBER-1-2017
sandu2065mail.ru;https://www.instagram.com/p/BXzsieUhojoOJ-8iPcGs3kY9mKnASCE3wX-74g0/;5;;photo;Балаларымның өтінішін орындаудың сəті түскен секілді;;AUGUST-15-2017
sandu2065mail.ru;https://www.instagram.com/p/BXw2nuhhXkSo1U-JpOuwjifw7pN55A65-Tbycc0/;5;;photo;#thailandpavilion2017 #expo2017astana;thailandpavilion2017 expo2017astana;AUGUST-14-2017
sandu2065mail.ru;https://www.instagram.com/p/BXvbWRpBsmgXcpZfkpaebSef6lv5W1nzGa2HqI0/;54;Expo 2017 Astana International;photo;Кешкі Астана;;AUGUST-13-2017
sandu2065mail.ru;https://www.instagram.com/p/BXucvjcBB0u-TUz4-1z1n2SLZKJ-qvO6g1C3xM0/;56;;photo;Ұлымның қуанышы-менің қуанышым.;;AUGUST-13-2017
sandu2065mail.ru;https://www.instagram.com/p/BVpacuQl8H7UrweWr7z0GOAURFd0n7mm328Pls0/;60;;photo;Астана саяхатынан...;;JUNE-22-2017
sandu2065mail.ru;https://www.instagram.com/p/BVpaQ3wleC8sYTEv8vG6r6aguOuOLCYDSVHzes0/;54;;photo;Лицей оқушыларымен Президент сарайында;;JUNE-22-2017
sandu2065mail.ru;https://www.instagram.com/p/BUgby34FmHEt-_5uKvQS6bwgdKC___Ld5MvQd40/;5;;photo;"Лицейіміздің 24-ші түлектері ізбасарларына ""Білім кілтін""табыстауда. Сəт сапар  жас түлек!";;MAY-25-2017
sandu2065mail.ru;https://www.instagram.com/p/BUeyEEUFqTNBalIXz7ykUXflohlQBZv3ISLjBk0/;5;;photo;;;MAY-24-2017
sandu2065mail.ru;https://www.instagram.com/p/BUetcowF7R0NegXR2bJsEJJEuca6p-yRngTPKs0/;5;;photo;Болашақ лицей оқушысы əзірге мектебінің мақтанышы ұлымның кезекті Мақтау қағазы;;MAY-24-2017
sandu2065mail.ru;https://www.instagram.com/p/BUXH7oDFT7-wvZseo2pJNS_dyUdk6wYymXOz2Q0/;5;;photo;Ностальгия;;MAY-21-2017
sandu2065mail.ru;https://www.instagram.com/p/BUUQRDMFxslmy7yl1tQakZ62qdKgTznQpS9zk00/;5;;photo;Кезекті түлектермен кездесу сəтінен;;MAY-20-2017
sandu2065mail.ru;https://www.instagram.com/p/BSxynmVhwdZCmDeb_zfoLPHSzbWwDwzok4JQIM0/;57;;photo;Бүгін екі жұлдызымның туған күндері! Алланың назарында  бақыттың базарында болыңдар!😚😚😚;;APRIL-12-2017
sandu2065mail.ru;https://www.instagram.com/p/BSnrXTjhQcPmOlrNq_chXdxx8E-RQ3luLizcEQ0/;88;Karaganda;photo;Қыздарыммен түскі ас;;APRIL-8-2017
sandu2065mail.ru;https://www.instagram.com/p/BR7bBxuhNM3Z8d9aJ7VENlml435k3c8k31wFWM0/;5;;photo;Баршамызды Наурыз мерекесімен шын жүректен құттықтаймын!;;MARCH-22-2017
sandu2065mail.ru;https://www.instagram.com/p/BR7bBZXB7-9EscnHAOv47ZyV-zkm6MC_1-uxRg0/;5;;photo;;;MARCH-22-2017
sandu2065mail.ru;https://www.instagram.com/p/BPTslM3g5qO4Ekmq3aWJOhSMUWkSAdHGkY5bWw0/;5;;photo;Мəнді де мағыналы кездесулер көп болғай...;;JANUARY-16-2017
sandu2065mail.ru;https://www.instagram.com/p/BPTsa2GgmJnwk6XpNi4T95CBlXSnmFCSViLaDA0/;5;;photo;Астанадағы түлектермен болған тамаша отырыстан;;JANUARY-16-2017
sandu2065mail.ru;https://www.instagram.com/p/BOr21mngqCiy1QJ_tAWaoChIHYcedr9a_4_20o0/;5;;photo;;;DECEMBER-31-2016
sandu2065mail.ru;https://www.instagram.com/p/BOey6t8AtJ6t-AvOLr3Hg4N9FpLJ1ZrgVGaeVc0/;5;;photo;;;DECEMBER-26-2016
sandu2065mail.ru;https://www.instagram.com/p/BOeywVqgZ_ZVcJJ91x4-0i4Nb_-dFA6lqpyhjc0/;5;;photo;Жаңа жылға дайындық;;DECEMBER-26-2016
sandu2065mail.ru;https://www.instagram.com/p/BOCOfpGA76a4HcmR5cAhX1wcK0-ch_Qub2bvTI0/;5;;photo;;;DECEMBER-15-2016
sandu2065mail.ru;https://www.instagram.com/p/BNdlVGjgMPw2Zz3IFl6TpWMqaOe2mEE1-T_SfY0/;5;;photo;;;DECEMBER-1-2016
sandu2065mail.ru;https://www.instagram.com/p/BNcLm0ngTNHV5jOMCIFjmIkmBzdDJVU8orQccw0/;5;;photo;Лицей аңызына айналған сүйікті оқушымыз  қазақстандық жастардың білімін дүниежүзіне мойындатып жүрген танымал түлегіміз Ернұр Рысмағанбетовпен өткен тамаша кездесуден кейін;;NOVEMBER-30-2016
sandu2065mail.ru;https://www.instagram.com/p/BMA1Qu1AbwOOXeS4VDbKDhx3EMeBJPcJlje5XI0/;91;;photo;Сүйікті ұжымымның сыйының бірі;;OCTOBER-26-2016
sandu2065mail.ru;https://www.instagram.com/p/BK-oplDgrsQFSu0oqFarow5B5g9G7TziNDJL-U0/;61;;photo;;;SEPTEMBER-30-2016
sandu2065mail.ru;https://www.instagram.com/p/BKPtQJ9AkON6uiFaDq6Y9O1aI7mfhb-XOnN-es0/;61;;photo;;;SEPTEMBER-12-2016
sandu2065mail.ru;https://www.instagram.com/p/BJgCr9JgMK3djKRB2v3G-NnAO5nY8iBEu82rw00/;73;;photo;Алтын қызыммен;;AUGUST-24-2016
